OTUs,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
0,106,60,26,125,58,109,10,129,66,63,168,174,113,274,222,184,297,116,243,165,265,292,340,227,156,364,185,390,298,307,168,32,170,276,47,497,37,111,170,113,525,361,476,547,275,602,428,42,467,584,589,318,187,113,300,193,226,126,220,334,21,18,3,59,25,3,14,8,46,23,12,14,24,31,36,72,2,3,21,9,0,8,2,0,0,1,1,2,0,1
1,110,70,49,40,90,100,109,64,73,50,168,233,122,60,300,188,124,130,265,187,86,400,408,416,464,381,124,770,459,356,605,201,115,147,90,97,93,265,565,148,305,174,277,226,74,261,314,54,378,269,126,175,43,45,53,36,112,21,85,299,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,5,1,0,0,0,0,1,0,0
2,41,71,59,41,80,112,102,73,59,44,145,131,65,78,196,116,50,87,168,113,194,218,240,160,127,237,312,133,232,244,155,17,90,111,15,119,6,34,101,62,171,102,211,216,192,180,220,19,167,196,348,314,95,112,290,95,151,73,132,148,0,3,0,2,0,3,0,2,0,0,0,0,1,7,4,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,0,1,0,0,2,0,1,1,6,0,1,0,2,5,4,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,31,9,1,12,13,15,25,50,15,0,12,22,13,18,24,20,9,11,20,2,12,62,16,18,11,22,12,21,19,6,29,10,41,87,10,48,5,16,42,15,55,52,44,77,68,83,33,3,52,63,81,55,39,36,72,50,70,7,43,60,0,0,0,2,2,0,0,0,0,0,0,1,1,6,5,11,0,1,0,1,0,0,0,0,0,0,0,1,0,0
5,37,14,9,21,20,39,29,43,17,8,73,73,65,92,67,55,15,101,114,61,152,147,157,188,33,173,69,94,122,167,47,26,83,80,22,91,13,48,90,37,165,98,147,172,82,167,153,10,171,189,148,194,58,48,138,51,97,35,73,95,2,7,3,16,10,5,3,2,6,3,2,3,4,16,12,15,1,2,19,7,0,1,1,0,0,0,0,2,0,0
6,0,7,0,14,6,3,13,0,0,0,9,12,0,4,4,13,4,7,2,2,9,1,1,0,6,0,6,0,1,0,11,1,5,3,1,16,3,6,6,6,25,15,11,4,2,5,1,1,7,9,3,8,17,1,6,13,13,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,2,0,7,3,0,0,0,1,0,37,22,6,5,25,74,2,20,63,8,15,41,47,33,16,57,13,35,46,43,23,1,13,21,3,18,0,1,14,1,32,23,75,35,2,52,54,0,73,40,45,184,11,12,18,9,18,1,17,17,1,4,0,7,0,1,5,0,1,0,1,0,5,4,0,11,0,2,2,0,0,4,0,0,1,0,0,0,0,0
8,25,28,51,2,32,45,45,67,31,120,41,29,29,432,48,14,44,29,36,127,235,38,12,50,6,20,9,0,32,35,2,4,1,0,1,1,1,0,18,9,13,6,11,15,10,25,17,6,12,20,9,9,26,11,1,8,16,1,4,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,4,3,1,19,18,18,9,6,0,110,82,27,14,152,34,30,73,106,36,85,29,56,32,13,46,58,21,43,46,46,2,18,17,6,20,2,6,20,12,33,35,46,25,47,31,17,0,43,37,33,51,11,19,24,27,25,12,13,28,1,4,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
